Unnamed: 0,Name,JapaneseName,Station,FirstCategory,SecondCategory,AVG_DinnerPrice_USD$,AVG_LunchPrice_USD,TotalRating,DinnerRating,LunchRating,ReviewNum,Lat,Long,Cost_Rating_Dinner,Cost_Rating_Lunch
65,furenchidainingutoppuobukyouto  ,フレンチダイニング トップ オブ キョウト,Kyoto,French,Restaurants (other),117.0,52.0,3.07,3.07,3.06,33,34.9861624957947,135.752504942257,38.11074918566776,16.99346405228758
68,Kyoutogiontempurayasakaendou  ,京都祇園 天ぷら八坂圓堂,Gion Shijo,Tempura,Kaiseki (Traditional Japanese),117.0,52.0,3.68,3.64,3.68,252,34.9989145822574,135.77511164431002,32.14285714285714,14.130434782608695
70,Komefuku  ,米福 四条烏丸,Karasuma,Tempura,Ten-don (Tempura Bowl),24.0,,3.55,3.51,3.56,140,35.0046062331496,135.761353080459,6.837606837606838,
71,Gionkyouryourihanasaki  ,祇園 京料理 花咲,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),117.0,42.0,3.5,3.32,3.45,56,35.001987605201,135.77615947135598,35.24096385542169,12.17391304347826
73,Ittetsugurache  ,Ittetsu Grazie,Karasuma,Yakiniku (BBQ Beef),Bar,33.0,,3.52,3.5,3.32,33,35.0047036962275,135.762538484634,9.428571428571429,
74,Ichishun  ,一瞬,Kyoto,Izakaya (Tavern),Japanese food (other),42.0,,3.53,3.52,3.4,72,34.9877799444932,135.7594723447,11.931818181818182,
77,RIGOLETTO SMOKE GRILL & BAR  ,RIGOLETTO SMOKE GRILL & BAR,Gion Shijo,Italian,Spain,42.0,14.0,3.52,3.5,3.51,113,35.0023853402133,135.77614667632798,12.0,3.988603988603989
79,Kyouryouritategami  ,京料理 立神,Marutamachi,Kyoto Cuisine,Kaiseki (Traditional Japanese),65.0,24.0,3.51,3.49,3.2,11,35.017654408043796,135.752669034239,18.624641833810887,7.5
81,BELLOTA concha  ,ベジョータコンチャ 富小路店,Kawaramachi,Spain,Italian,33.0,14.0,3.16,3.16,3.06,23,35.0028287148498,135.764830752759,10.443037974683543,4.57516339869281
86,Italian bar Lugol  ,イタリアンバール ルゴール,Karasuma Oike,Italian,Pasta,24.0,,3.03,3.02,3.04,28,35.0111876696183,135.756670110802,7.947019867549669,
94,Ampan  ,内房,Karasuma Oike,Korean cuisine,Yakiniku (BBQ Beef),33.0,14.0,3.08,3.09,3.0,20,35.0085107284906,135.75637053671102,10.679611650485437,4.666666666666667
95,rino  ,Lino,Karasuma Oike,Italian,Pasta,65.0,14.0,3.2,3.05,3.2,10,35.013142472915895,135.757379128582,21.311475409836067,4.375
96,REAL NETA DINING ICHIZ  ,イチズ,Tambaguchi,Italian,Izakaya (Tavern),42.0,,3.05,3.05,3.0,14,34.9929450895897,135.735796850912,13.77049180327869,
101,Pierupureshiuzu  ,ピエール プレシウーズ,Karasuma Oike,French,Western Cuisine,52.0,14.0,3.06,3.04,3.06,14,35.0072606963549,135.762778950935,17.105263157894736,4.57516339869281
102,Yamadaruma  ,やまだるま,Karasuma Oike,Izakaya (Tavern),Seafood,33.0,,3.03,3.03,3.03,10,35.0073406469914,135.760442474632,10.891089108910892,
103,unagihitsumabushisumiyagura  ,うなぎ･ひつまぶし炭櫓 京都四条河原町店,Kawaramachi,Unagi (Freshwater eel),Kyoto Cuisine,24.0,14.0,3.21,3.03,3.21,7,35.003582046335104,135.769830756877,7.920792079207922,4.361370716510904
104,pittsuxeriaba-rurenapori  ,ピッツェリア・バール・レ・ナポリ 京都錦,Karasuma,Italian,Pizza,24.0,,3.37,3.07,3.52,37,35.0050542545871,135.762143271984,7.817589576547232,
109,Pizzeria e Bar La Voce  ,Pizzeria e Bar La Voce,Kawaramachi,Italian,Pizza,33.0,14.0,3.18,3.18,3.05,14,35.0024457106357,135.765917523079,10.377358490566037,4.59016393442623
110,Nyavetonamu  ,ニャーヴェトナム 京都店,Kyoto,Viet Nam cuisine,Cafe,33.0,14.0,3.04,3.04,3.02,18,34.9887087338191,135.759459802978,10.855263157894736,4.635761589403973
113,Gionramburu  ,祇園らんぶる,Gion Shijo,Kyoto Cuisine,Creative cuisine,52.0,33.0,3.56,3.56,3.06,24,35.00311635866161,135.775318100373,14.606741573033707,10.784313725490195
116,jukuseiyakinikupondo  ,熟成焼肉 听 四条大宮店,Shijo Omiya,Yakiniku (BBQ Beef),Horumon (BBQ Offel),52.0,14.0,3.28,3.25,3.09,26,35.0045498978592,135.748173899804,16.0,4.53074433656958
118,Kyoutonijoutosaka  ,京都二条とさか,Marutamachi,Kappo (Traditional Japanese),Japanese food (other),85.0,24.0,3.53,3.36,3.57,13,35.013590006641806,135.762050386696,25.297619047619047,6.722689075630252
119,YAMAMURA GYUUBEI  ,近江牛Steak&Wine 山村牛兵衛 四条大宮店,Omiya,Izakaya (Tavern),Italian,33.0,14.0,3.06,3.04,3.06,17,35.0050615247931,135.74903213830498,10.855263157894736,4.57516339869281
121,Machiyashisenhoshitsukiyo  ,町家四川 星月夜,Omiya,Sichuan Cuisine,Shanghai Cuisine,85.0,33.0,3.53,3.27,3.56,14,35.0014650442168,135.753565538506,25.99388379204893,9.269662921348315
122,Ameirobisutoroaruru  ,アメイロビストロアルル,Nishi Maizuru,Italian,Cafe,33.0,14.0,3.05,3.04,3.06,8,35.4531345954263,135.329018056996,10.855263157894736,4.57516339869281
123,LODGE  ,北海道ステーキハウス LODGE,Kyoto Shiyakusho Mae,Steak,Izakaya (Tavern),42.0,14.0,3.06,3.06,3.0,4,35.0097955295841,135.768753338055,13.72549019607843,4.666666666666667
124,Yosuke YAMAJI  ,山地陽介,Gion Shijo,French,Modern French,235.0,85.0,4.02,3.68,3.75,44,35.0027080751407,135.775669756633,63.85869565217391,22.666666666666668
125,Feliz-Lana  ,フェリスラナ,Karasuma,Italian,Bar,33.0,14.0,3.2,3.2,3.06,23,35.0023384434237,135.762685018699,10.3125,4.57516339869281
128,Teramachiyoshikura  ,寺町よしくら,Demachiyanagi,Kaiseki (Traditional Japanese),Kyoto Cuisine,52.0,14.0,3.16,3.13,3.09,33,35.0287626378569,135.767667880596,16.61341853035144,4.53074433656958
130,bisutorowaraku  ,Bistro WARAKU 四条柳馬場店,Karasuma,Bistro,Bar,42.0,14.0,3.2,3.14,3.15,37,35.0044229668434,135.764068141189,13.375796178343949,4.444444444444445
133,Higashinotouinsou  ,東洞院SOU,Karasuma Oike,Kappo (Traditional Japanese),Japanese food (other),42.0,14.0,3.15,3.15,3.06,6,35.0074942517641,135.761020197357,13.333333333333334,4.57516339869281
138,Gionemon  ,祇園えもん,Higashiyama,Sushi,Kappo (Traditional Japanese),65.0,14.0,3.48,3.39,3.23,17,35.0070682048416,135.777988807732,19.1740412979351,4.3343653250774
148,Parinijuuikku  ,パリ21区,Kawaramachi,Steak,Beer,24.0,14.0,3.15,3.06,3.3,45,35.0051732085629,135.766597896551,7.8431372549019605,4.242424242424242
149,ajidokorosamon  ,味どころ 佐門,Sai,Izakaya (Tavern),Okinawan Cuisine,33.0,,3.05,3.04,3.03,2,35.0039066692894,135.734330079148,10.855263157894736,
153,kyouryourikaji  ,京料理 かじ,Marutamachi,Kyoto Cuisine,Kaiseki (Traditional Japanese),85.0,52.0,3.56,3.54,3.51,67,35.0172339290037,135.754474736969,24.01129943502825,14.814814814814815
154,nikugaumaikafenikkusutokku  ,肉が旨いカフェ NICK STOCK 京都リサーチパーク店,Tambaguchi,Cafe,Steak,24.0,14.0,3.19,3.09,3.14,41,34.9955417719794,135.73669499009898,7.766990291262136,4.45859872611465
158,Nihonryouriukihashi  ,浮橋,Kyoto,Kaiseki (Traditional Japanese),Kyoto Cuisine,85.0,33.0,3.53,3.51,3.54,42,34.986078184152795,135.759591579816,24.216524216524217,9.322033898305085
161,KYOTO GATTEN  ,酒と肉天ぷら 勝天,Gion Shijo,Tempura,Sushi,33.0,14.0,3.09,3.06,3.18,11,35.0040634027413,135.770918699917,10.784313725490195,4.40251572327044
164,Saredokafe  ,saredoかふぇ,Kyoto,Cafe,Crepes,14.0,14.0,3.11,3.0,3.12,21,34.9890664307592,135.757022211173,4.666666666666667,4.487179487179487
170,mo-shondaina-  ,MOTION DINER KYOTO,Kyoto Shiyakusho Mae,Cafe,Burger,24.0,14.0,3.12,3.05,3.12,19,35.0079904252289,135.767628236827,7.868852459016394,4.487179487179487
172,Tenshinchashitsu  ,點心茶室 京都店,Kyoto,Shanghai Cuisine,Cantonese Cuisine,33.0,14.0,3.54,3.51,3.52,52,34.9858540036173,135.757424825642,9.401709401709402,3.977272727272727
175,Mukadeya  ,百足屋 本店,Karasuma,Kyoto Cuisine,Japanese food (other),65.0,33.0,3.07,3.0,3.08,21,35.005659231154,135.756468653259,21.666666666666668,10.714285714285714
176,Hanagokoro  ,花ごころ,Hanazono,Kyoto Cuisine,Shojin Cuisine (Buddhist Cuisine),33.0,14.0,3.08,3.09,3.06,11,35.0211042512664,135.721942974391,10.679611650485437,4.57516339869281
179,kyoutoayanokoujimangetsunohana  ,京都綾小路 満月の花,Karasuma,Sweets,Japanese food (other),24.0,,3.26,3.09,3.21,26,35.0025617701124,135.763672148658,7.766990291262136,
181,Ikiikiudon  ,いきいきうどん 京都店,Karasuma Oike,Udon,Japanese food (other),,,3.18,3.09,3.14,47,35.0112104746148,135.758368024296,,
185,chisouyouga  ,馳走 陽雅,Gojo,Kaiseki (Traditional Japanese),Kyoto Cuisine,117.0,65.0,3.63,3.61,3.51,8,34.9940370483543,135.75920596762302,32.40997229916898,18.51851851851852
186,Kushiyamonogatari  ,串家物語 京都ヨドバシ店,Kyoto,Kushi-age (Fried Skewer),Izakaya (Tavern),24.0,14.0,3.0,3.0,3.01,14,34.9881307373069,135.759300676139,8.0,4.651162790697675
190,Satsumagokamon  ,薩摩ごかもん 京都四条烏丸本店,Karasuma,Izakaya (Tavern),Sukiyaki,33.0,,3.07,3.09,3.0,27,35.0040723797291,135.760114596783,10.679611650485437,
192,Himiko  ,卑弥呼 舞鶴,Higashi Maizuru,Izakaya (Tavern),Seafood,42.0,14.0,3.12,3.08,3.21,29,35.475659448994605,135.394954321689,13.636363636363637,4.361370716510904
194,CHULETA  ,チュレタ,Gion Shijo,Spain,Bar,52.0,14.0,3.58,3.58,3.06,24,35.004132038915,135.772773820467,14.525139664804469,4.57516339869281
195,GRILL&PUB The NICK STOCK  ,GRILL&PUB The NICK STOCK 三条河原町店,Sanjo,Steak,Bar,24.0,14.0,3.0,3.06,3.0,19,35.008732885781995,135.769916345949,7.8431372549019605,4.666666666666667
197,Brochette  ,ブロシェット,Karasuma Oike,Western (Others),French,33.0,14.0,3.55,3.54,3.51,44,35.010390055425894,135.761151164263,9.322033898305085,3.988603988603989
203,BISTRO BAR A VIN  C  ,ビストロ セー,Shijo,Bistro,Seafood,24.0,33.0,3.51,3.51,3.1,49,35.001396243262896,135.75817849190202,6.837606837606838,10.64516129032258
206,nikugaumaikafenikkusutokku  ,肉が旨いカフェ NICK STOCK イオンモールKYOTO店,Toji,Cafe,Steak,14.0,14.0,3.19,3.11,3.09,17,34.9831039778838,135.755014596872,4.501607717041801,4.53074433656958
207,Teppankushiyakisakura  ,鉄板串焼き 咲蔵,Chushojima,Izakaya (Tavern),Teppanyaki,33.0,,3.05,3.04,3.05,7,34.9304169208423,135.759897728248,10.855263157894736,
208,TORIBUN  ,炭焼家 酉文,Kawaramachi,Izakaya (Tavern),Yakitori (Grilled chicken),33.0,14.0,3.02,3.02,3.02,10,35.0040039412769,135.76958020270598,10.927152317880795,4.635761589403973
209,Supuringubareburuwarikyouto  ,スプリングバレーブルワリー 京都,Kawaramachi,Dining bar,Cafe,33.0,14.0,3.53,3.52,3.43,36,35.0054145412285,135.764856918916,9.375,4.081632653061225
212,Daitouryou  ,大當両,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),65.0,42.0,3.08,3.05,3.13,16,35.00468500724789,135.771166428501,21.311475409836067,13.4185303514377
213,Nagomijun  ,和 旬゛,Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),65.0,33.0,3.15,3.15,3.05,16,35.0048941434939,135.75480277787202,20.634920634920636,10.819672131147541
214,Hiroya  ,ひろや,Kurama,Kaiseki (Traditional Japanese),Kyoto Cuisine,165.0,165.0,3.59,3.59,3.57,51,35.1224245875838,135.763415575783,45.96100278551532,46.21848739495798
223,nikuyanodaidokoro  ,肉屋の台所 京都木屋町ミート,Sanjo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),33.0,14.0,3.0,3.0,3.03,6,35.008282945920804,135.770604087326,11.0,4.62046204620462
232,Bairan  ,梅蘭 イオンモール京都桂川店,Katsuragawa,Chinese,Dim sum,14.0,,3.12,3.1,3.07,29,34.9638660290022,135.706929476087,4.516129032258064,
234,yakinikutobi-ruichibakouji  ,焼肉とビール 市場小路 四条烏丸店,Karasuma,Yakiniku (BBQ Beef),Horumon (BBQ Offel),42.0,14.0,3.06,3.05,3.06,4,35.0041026546082,135.760134038219,13.77049180327869,4.57516339869281
237,tounyuutonshabutoratarou  ,豆乳とんしゃぶ 寅太郎,Shijo,Kaiseki (Traditional Japanese),Shabu Shabu (Japanese Steamboat),52.0,33.0,3.0,3.0,3.06,31,35.0014854399394,135.760442744194,17.333333333333332,10.784313725490195
239,Mossannobetayaki  ,モッさんのべた焼,Sai,Okonomiyaki,Horumon (BBQ Offel),24.0,,3.51,3.51,3.06,19,35.0030579623755,135.73955107351003,6.837606837606838,
241,Gottie'sBEEF  ,ゴッチーズビーフ 四条木屋町,Gion Shijo,Steak,Yakiniku (BBQ Beef),42.0,14.0,3.09,3.09,3.07,50,35.0042139376688,135.770659547842,13.592233009708739,4.5602605863192185
242,pasutakorekushonandoba-dougetsuneo  ,Pasta Collection &  Bar 道月neo,Shijo,Izakaya (Tavern),Pasta,42.0,14.0,3.43,3.09,3.52,9,35.0023747986738,135.760981825142,13.592233009708739,3.977272727272727
243,Shougetsu  ,将月 河原町店,Kawaramachi,Okonomiyaki,Teppanyaki,24.0,,3.08,3.09,3.07,22,35.0067669680697,135.768950127822,7.766990291262136,
253,konken  ,コンケン,Kawaramachi,Thailand cooking,Izakaya (Tavern),14.0,,3.12,3.09,3.08,7,35.0047954829718,135.76727258013202,4.53074433656958,
255,Yamabanaheihachidiya  ,山ばな平八茶屋,Shugakuin,Kyoto Cuisine,Kaiseki (Traditional Japanese),117.0,42.0,3.56,3.54,3.48,29,35.0540652185977,135.791069150017,33.05084745762712,12.068965517241379
257,Kyouyoushokumatsumoto  ,京洋食　まつもと,Karasuma,Western Cuisine,French,42.0,14.0,3.33,3.12,3.43,20,35.0062209598182,135.755592651184,13.461538461538462,4.081632653061225
259,ITALIAN BAR MODERNTIMES  ,イタリアンバール モダンタイムス,Marutamachi,Italian,Pizza,24.0,,3.29,3.16,3.27,15,35.0134296607426,135.75716857728997,7.594936708860759,
260,Aiyoxtsu  ,あいよっ！,Karasuma Oike,Kushi-age (Fried Skewer),Izakaya (Tavern),14.0,,3.05,3.05,3.04,5,35.0083908126893,135.76045659177402,4.59016393442623,
261,Chanchi  ,チャンチ 京都店 ,Kyoto,Korean cuisine,Izakaya (Tavern),24.0,,3.46,3.05,3.46,34,34.9882018356172,135.759003197571,7.868852459016394,
269,Ichibakouji  ,市場小路 寺町本店,Kawaramachi,Izakaya (Tavern),Steak,33.0,14.0,3.51,3.5,3.5,69,35.0052579227962,135.766659276441,9.428571428571429,4.0
272,Tempurashinjukutsunahachi  ,天ぷら新宿つな八 京都店,Kawaramachi,Tempura,Kaiseki (Traditional Japanese),42.0,14.0,3.02,3.02,3.02,17,35.003206223537504,135.76813258188102,13.90728476821192,4.635761589403973
278,Toriasa  ,鳥あさ,Karasuma,Izakaya (Tavern),Yakitori (Grilled chicken),33.0,,3.09,3.08,3.13,23,35.004073490731,135.760115152241,10.714285714285714,
282,Rejon  ,レジョン,Kawaramachi,French,Bistro,42.0,14.0,3.4,3.33,3.15,5,35.0043410421313,135.764696148361,12.612612612612612,4.444444444444445
284,Osakenobijutsukan  ,お酒の美術館 河原町三条店,Kyoto Shiyakusho Mae,Bar,Dining bar,14.0,14.0,3.06,3.06,3.04,6,35.0085134524901,135.769211136841,4.57516339869281,4.605263157894737
285,wainandooyasaibarubejibaru  ,ワイン＆お野菜バル ベジバル,Shijo,Italian,Wine bar,42.0,24.0,3.51,3.51,3.24,33,35.0027690463108,135.756766378431,11.965811965811966,7.4074074074074066
287,Yudoufutakemura  ,湯どうふ 竹むら,Arashiyama,Tofu,Yuba,33.0,33.0,3.5,3.18,3.52,47,35.0174861567175,135.676820063458,10.377358490566037,9.375
288,ajiromanishigamatei  ,味浪漫いしがま亭,Gion Shijo,Izakaya (Tavern),Kyoto Cuisine,42.0,14.0,3.12,3.07,3.21,27,35.002124989393394,135.770370779114,13.680781758957655,4.361370716510904
291,Bar PLAYGROUND  ,バル　プレイグラウンド,Imadegawa,Bar,Wine bar,33.0,14.0,3.06,3.06,3.05,2,35.0295642817079,135.754755257071,10.784313725490195,4.59016393442623
292,Kyameron  ,キャメロン,Kawaramachi,Steak,French,65.0,24.0,3.07,3.0,3.08,50,35.0007170141562,135.76634728920098,21.666666666666668,7.792207792207792
299,Kyoutokeburikawa  ,京都・烟河,  Kameoka,Ryokan,Auberge,85.0,24.0,3.42,3.49,3.45,27,35.0218892615986,135.49987094522498,24.355300859598852,6.956521739130435
300,Gionyamamoto  ,祇園 山本,Gion Shijo,Kaiseki (Traditional Japanese),Kyoto Cuisine,117.0,117.0,3.06,3.06,3.05,2,35.0053383546023,135.775969888382,38.23529411764706,38.36065573770492
301,Kappouyoshizen  ,割烹 吉膳,Gion Shijo,Kappo (Traditional Japanese),Kaiseki (Traditional Japanese),117.0,117.0,3.58,3.56,3.5,16,35.0014552168919,135.779293680016,32.86516853932584,33.42857142857143
304,itaria-nasagura  ,italiana SAGRA,Gion Shijo,Italian,Wine bar,85.0,33.0,3.59,3.6,3.52,76,35.0045350229217,135.77114532604799,23.61111111111111,9.375
308,Ichibakouji  ,市場小路 ジェイアール京都伊勢丹店,Kyoto,Dining bar,Creative cuisine,42.0,14.0,3.5,3.45,3.2,68,34.9858523371143,135.75742399245502,12.17391304347826,4.375
314,sute-kihausupondo  ,ステーキハウス 听 四条河原町店,Kawaramachi,Steak,Western Food (Other),52.0,14.0,3.31,3.27,3.1,40,35.0039567310859,135.769979893907,15.902140672782874,4.516129032258064
316,Yakinikuhorumongyuuteruryourianiki  ,焼肉ホルモン・牛テール料理　あにき,Shijo Omiya,Yakiniku (BBQ Beef),Horumon (BBQ Offel),33.0,,3.14,3.14,3.12,14,35.0033891092207,135.743624608845,10.509554140127388,
321,Trattoria La Voce  ,トラットリア ラ・ヴォーチェ,Karasuma,Italian,Pasta,42.0,14.0,3.5,3.13,3.53,76,35.0046017230065,135.757564228663,13.4185303514377,3.96600566572238
322,Saketosakanatootokomaeshokudou  ,酒と魚とオトコマエ食堂,Kyoto,Izakaya (Tavern),Seafood,33.0,33.0,3.0,3.0,3.03,5,34.987692750159695,135.76053503823601,11.0,10.891089108910892
323,Karyou  ,迦陵,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),117.0,52.0,3.68,3.72,3.71,56,35.0017880519702,135.774576246268,31.451612903225804,14.016172506738545
324,Kyoutotawahoteruokujoubiagaden  ,京都タワーホテル 屋上ビアガーデン,Kyoto,Beer garden,BBQ,33.0,42.0,3.04,3.04,3.01,15,34.987429990681896,135.759973708063,10.855263157894736,13.953488372093025
328,Kyo gastronomy KOZO  ,Kyo gastronomy KOZO,Marutamachi,French,Kyoto Cuisine,65.0,33.0,3.06,3.06,3.06,12,35.0163828159497,135.765054453067,21.241830065359476,10.784313725490195
329,Teramachihambagugokurakutombo  ,寺町ハンバーグ 極楽蜻蛉,Kyoto Shiyakusho Mae,Hamburger Steak,Western Cuisine,33.0,14.0,3.04,3.03,3.04,6,35.0141669829842,135.767409637268,10.891089108910892,4.605263157894737
334,Grelot  ,グレロ,Gion Shijo,French,Western Cuisine,65.0,33.0,3.45,3.23,3.24,16,35.0018373086887,135.774166588229,20.123839009287927,10.185185185185185
335,kyoutoteppantachibana  ,京都 鉄板 たちばな,Shijo,Teppanyaki,Okonomiyaki,33.0,,3.03,3.03,3.02,11,35.001451242129896,135.758450411231,10.891089108910892,
337,CRAFT BEER & PIZZA 100K HYAKKEI  ,クラフトビール&ピザ 100K,Kyoto,Italian,Pizza,14.0,,3.0,3.0,3.0,8,34.989352023161395,135.760880488706,4.666666666666667,
340,Bankokugaden  ,バンコクガーデン,Marutamachi,Thailand cooking,Thai Curry,24.0,,3.08,3.02,3.09,34,35.015712584976804,135.763629880014,7.947019867549669,
343,Tajimaya  ,但馬屋 京都ヨドバシ店,Kyoto,Shabu Shabu (Japanese Steamboat),Sukiyaki,24.0,,3.0,3.01,3.0,26,34.9880843488581,135.75904181088498,7.9734219269103,
344,Torisei  ,鳥せい 京都タワーサンド店,Kyoto,Izakaya (Tavern),Yakitori (Grilled chicken),24.0,,3.16,3.15,3.07,21,34.9875610768654,135.75934930943998,7.6190476190476195,
347,Rudensu  ,ルーデンス,Marutamachi,Italian,Vegetable dishes,117.0,52.0,3.46,3.46,3.06,4,35.0139657947104,135.761760115723,33.8150289017341,16.99346405228758
350,Hachisei  ,八清,Tambaguchi,Kyoto Cuisine,Kaiseki (Traditional Japanese),65.0,24.0,3.02,3.03,3.02,4,34.9951733748197,135.746687788271,21.452145214521455,7.947019867549669
352,Kyoutonishikitempurasakabataneshichi  ,京都 錦 天ぷら酒場 たね七,Karasuma,Tempura,Izakaya (Tavern),24.0,,3.06,3.06,3.06,12,35.004729901214496,135.763226478858,7.8431372549019605,
353,Roti Chicken&Jackie Tacos  ,ロテイー チキンアンドジャッキー タコス,Shijo,Mexico cuisine,Bar,24.0,14.0,3.53,3.5,3.52,67,35.0004287056027,135.760199999643,6.857142857142857,3.977272727272727
356,Jukuseiyakinikupondo  ,熟成焼肉 听 京都駅前店,Kyoto,Yakiniku (BBQ Beef),Horumon (BBQ Offel),52.0,14.0,3.13,3.12,3.06,14,34.9891072870517,135.758586801575,16.666666666666668,4.57516339869281
357,kyoumachiyaitarianronkusu  ,京町家イタリアンろんくす,Kawaramachi,Italian,Sumibiyaki,52.0,24.0,3.0,3.0,3.05,15,35.0003212201544,135.766175377257,17.333333333333332,7.868852459016394
363,Oumiyaseiemon  ,近江屋清右衛門,Marutamachi,European-style Curry,Curry rice,14.0,14.0,3.54,3.3,3.53,97,35.0175594520648,135.754607766489,4.242424242424242,3.96600566572238
